neff,"Aeff
(um^2)","dispersion
(ps/km.nm)","conf-loss
(dB/cm)"
1.27828,4.9673,587.055,185.178
1.29633,2.49561,685.141,40.1809
1.31463,1.68857,576.543,6.51452
1.33194,1.33313,396.421,0.914075
1.34753,1.13895,229.82,0.123961
1.36118,1.01791,98.1825,0.0175534
1.373,0.935637,0.0735703,0.00266476
1.38318,0.876122,71.3042,0.00043657
1.39194,0.831,122.755,7.74E-05
1.39951,0.795531,159.737,1.49E-05
1.40608,0.766849,186.286,3.11E-06
1.41179,0.743126,205.304,7.06E-07
1.41679,0.723144,218.847,1.73E-07
1.42118,0.706059,228.374,4.57E-08
1.42506,0.691266,234.926,1.30E-08
1.4285,0.678323,239.256,3.94E-09
1.43156,0.666895,241.907,1.28E-09
1.43431,0.656724,243.278,4.41E-10
1.43676,0.647611,243.673,1.61E-10
1.43898,0.639394,243.313,6.21E-11
1.31138,2.77075,483.295,7.18299
1.33312,2.05135,305.237,0.623088
1.35214,1.70803,144.54,0.0517805
1.36818,1.5107,28.3271,0.00463135
1.3815,1.38324,50.4328,0.000466553
1.39256,1.29402,102.719,5.36E-05
1.40176,1.22787,137.242,7.02E-06
1.40948,1.17669,159.991,1.05E-06
1.41598,1.1358,174.89,1.76E-07
1.42152,1.10231,184.489,3.33E-08
1.42626,1.07434,190.455,7.02E-09
1.43034,1.0506,193.893,1.65E-09
1.43388,1.03018,195.544,4.26E-10
1.43698,1.01242,195.922,1.21E-10
1.43969,0.996826,195.384,3.73E-11
1.44209,0.983022,194.182,1.25E-11
1.44422,0.970711,192.501,4.49E-12
1.44611,0.959662,190.472,1.73E-12
1.4478,0.949689,188.198,7.11E-13
1.44932,0.940641,185.749,3.09E-13
1.34215,2.68441,190.77,0.160775
1.36298,2.25505,50.4519,0.00849075
1.37972,2.01199,36.4554,0.000519861
1.3931,1.85565,89.5307,3.82E-05
1.40385,1.74617,121.654,3.38E-06
1.41256,1.66486,141.02,3.60E-07
1.4197,1.60186,152.53,4.55E-08
1.4256,1.55149,159.103,6.78E-09
1.43053,1.51022,162.504,1.18E-09
1.4347,1.47576,163.82,2.35E-10
1.43824,1.44652,163.751,5.37E-11
1.44128,1.4214,162.748,1.38E-11
1.44391,1.39956,161.109,3.96E-12
1.4462,1.3804,159.045,1.26E-12
1.44819,1.36345,156.697,4.36E-13
1.44995,1.34835,154.166,1.64E-13
1.45151,1.33481,151.524,6.65E-14
1.45289,1.32259,148.822,2.88E-14
1.45413,1.31151,146.098,1.32E-14
1.45523,1.30142,143.379,6.38E-15
1.36691,2.98171,28.7845,0.00390034
1.38519,2.64596,53.2421,0.000159617
1.39929,2.43711,95.1716,8.42E-06
1.41026,2.29377,118.323,5.72E-07
1.41892,2.18876,130.936,4.94E-08
1.42586,2.10821,137.478,5.33E-09
1.43149,2.04434,140.415,7.10E-10
1.43612,1.99238,141.149,1.14E-10
1.43997,1.94925,140.511,2.18E-11
1.4432,1.91285,139.009,4.89E-12
1.44594,1.88172,136.961,1.26E-12
1.44829,1.85477,134.576,3.67E-13
1.45031,1.83122,131.988,1.19E-13
1.45206,1.81046,129.295,4.29E-14
1.45359,1.79202,126.553,1.68E-14
1.45494,1.77553,123.809,7.08E-15
1.45612,1.7607,121.092,3.20E-15
1.45718,1.74728,118.418,1.53E-15
1.45812,1.73509,115.804,7.71E-16
1.45896,1.72396,113.257,4.08E-16
1.38591,3.44263,43.2213,0.00012131
1.40157,3.14445,89.6542,4.34E-06
1.41336,2.94767,109.241,2.16E-07
1.4224,2.80723,118.794,1.46E-08
1.42947,2.70156,122.966,1.31E-09
1.43509,2.61899,124.137,1.52E-10
1.43963,2.55261,123.578,2.23E-11
1.44335,2.49805,122.008,4.02E-12
1.44642,2.4524,119.843,8.68E-13
1.449,2.41362,117.34,2.20E-13
1.45118,2.38026,114.659,6.42E-14
1.45304,2.35127,111.896,2.11E-14
1.45464,2.32583,109.121,7.69E-15
1.45602,2.30333,106.372,3.07E-15
1.45723,2.28328,103.678,1.32E-15
1.45829,2.26531,101.054,6.11E-16
1.45922,2.24909,98.5104,2.99E-16
1.46005,2.2344,96.0555,1.55E-16
1.46079,2.22102,93.6874,8.36E-17
1.46144,2.20878,91.4083,4.71E-17
1.40033,4.00347,71.9966,5.03E-06
1.41371,3.72019,98.9152,1.70E-07
1.42364,3.52603,107.496,8.48E-09
1.43119,3.384,110.622,6.02E-10
1.43706,3.27532,110.916,5.87E-11
1.4417,3.18938,109.689,7.59E-12
1.44543,3.11967,107.634,1.25E-12
1.44847,3.06196,105.136,2.56E-13
1.45099,3.0134,102.421,6.27E-14
1.45309,2.97195,99.6178,1.79E-14
1.45486,2.93616,96.8116,5.83E-15
