RW (nm),Lc (um),G (nm),W (nm),PeakOrNoPeak
855,5,100,550,0
855,5,100,575,0
855,5,100,600,0
855,5,100,625,0
855,5,100,650,0
855,5,150,550,0
855,5,150,575,0
855,5,150,600,0
855,5,150,625,0
855,5,150,650,0
855,5,200,550,0
855,5,200,575,0
855,5,200,600,0
855,5,200,625,0
855,5,200,650,0
855,5,250,550,0
855,5,250,575,0
855,5,250,600,0
855,5,250,625,0
855,5,250,650,0
855,5,300,550,0
855,5,300,575,0
855,5,300,600,0
855,5,300,625,0
855,5,300,650,0
855,6,100,550,0
855,6,100,575,0
855,6,100,600,0
855,6,100,625,0
855,6,100,650,0
855,6,150,550,0
855,6,150,575,0
855,6,150,600,0
855,6,150,625,0
855,6,150,650,0
855,6,200,550,0
855,6,200,575,0
855,6,200,600,0
855,6,200,625,0
855,6,200,650,0
855,6,250,550,0
855,6,250,575,0
855,6,250,600,0
855,6,250,625,0
855,6,250,650,0
855,6,300,550,0
855,6,300,575,0
855,6,300,600,0
855,6,300,625,0
855,6,300,650,0
855,7,100,550,0
855,7,100,575,0
855,7,100,600,0
855,7,100,625,0
855,7,100,650,0
855,7,150,550,0
855,7,150,575,0
855,7,150,600,0
855,7,150,625,0
855,7,150,650,0
855,7,200,550,0
855,7,200,575,0
855,7,200,600,0
855,7,200,625,0
855,7,200,650,0
855,7,250,550,0
855,7,250,575,0
855,7,250,600,0
855,7,250,625,0
855,7,250,650,0
855,7,300,550,0
855,7,300,575,0
855,7,300,600,0
855,7,300,625,0
855,7,300,650,0
855,8,100,550,0
855,8,100,575,0
855,8,100,600,0
855,8,100,625,0
855,8,100,650,0
855,8,150,550,0
855,8,150,575,0
855,8,150,600,0
855,8,150,625,0
855,8,150,650,0
855,8,200,550,0
855,8,200,575,0
855,8,200,600,0
855,8,200,625,0
855,8,200,650,0
855,8,250,550,0
855,8,250,575,0
855,8,250,600,0
855,8,250,625,0
855,8,250,650,0
855,8,300,550,0
855,8,300,575,0
855,8,300,600,0
855,8,300,625,0
855,8,300,650,0
855,9,100,550,0
855,9,100,575,0
855,9,100,600,0
855,9,100,625,0
855,9,100,650,0
855,9,150,550,0
855,9,150,575,0
855,9,150,600,0
855,9,150,625,0
855,9,150,650,0
855,9,200,550,0
855,9,200,575,0
855,9,200,600,0
855,9,200,625,0
855,9,200,650,0
855,9,250,550,0
855,9,250,575,0
855,9,250,600,0
855,9,250,625,0
855,9,250,650,0
855,9,300,550,0
855,9,300,575,0
855,9,300,600,0
855,9,300,625,0
855,9,300,650,0
855,10,100,550,0
855,10,100,575,0
855,10,100,600,0
855,10,100,625,0
855,10,100,650,0
855,10,150,550,0
855,10,150,575,0
855,10,150,600,0
855,10,150,625,0
855,10,150,650,0
855,10,200,550,0
855,10,200,575,0
855,10,200,600,0
855,10,200,625,0
855,10,200,650,0
855,10,250,550,0
855,10,250,575,0
855,10,250,600,0
855,10,250,625,0
855,10,250,650,0
855,10,300,550,0
855,10,300,575,0
855,10,300,600,0
855,10,300,625,0
855,10,300,650,0
855,11,100,550,0
855,11,100,575,0
855,11,100,600,0
855,11,100,625,0
855,11,100,650,0
855,11,150,550,0
855,11,150,575,0
855,11,150,600,0
855,11,150,625,0
855,11,150,650,0
855,11,200,550,0
855,11,200,575,0
855,11,200,600,0
855,11,200,625,0
855,11,200,650,0
855,11,250,550,0
855,11,250,575,0
855,11,250,600,0
855,11,250,625,0
855,11,250,650,0
855,11,300,550,0
855,11,300,575,0
855,11,300,600,0
855,11,300,625,0
855,11,300,650,0
855,12,100,550,1
855,12,100,575,0
855,12,100,600,0
855,12,100,625,0
855,12,100,650,0
855,12,150,550,1
855,12,150,575,0
855,12,150,600,0
855,12,150,625,0
855,12,150,650,0
855,12,200,550,0
855,12,200,575,0
855,12,200,600,0
855,12,200,625,0
855,12,200,650,0
855,12,250,550,0
855,12,250,575,0
855,12,250,600,0
855,12,250,625,0
855,12,250,650,0
855,12,300,550,0
855,12,300,575,0
855,12,300,600,0
855,12,300,625,0
855,12,300,650,0
855,13,100,550,1
855,13,100,575,0
855,13,100,600,0
855,13,100,625,0
855,13,100,650,0
855,13,150,550,1
855,13,150,575,0
855,13,150,600,0
855,13,150,625,0
855,13,150,650,0
855,13,200,550,1
855,13,200,575,0
855,13,200,600,0
855,13,200,625,0
855,13,200,650,0
855,13,250,550,1
855,13,250,575,0
855,13,250,600,0
855,13,250,625,0
855,13,250,650,0
855,13,300,550,1
855,13,300,575,0
855,13,300,600,0
855,13,300,625,0
855,13,300,650,0
855,14,100,550,0
855,14,100,575,1
855,14,100,600,0
855,14,100,625,0
855,14,100,650,0
855,14,150,550,0
855,14,150,575,0
855,14,150,600,0
855,14,150,625,0
855,14,150,650,0
855,14,200,550,1
855,14,200,575,0
855,14,200,600,0
855,14,200,625,0
855,14,200,650,0
855,14,250,550,1
855,14,250,575,0
855,14,250,600,0
855,14,250,625,0
855,14,250,650,0
855,14,300,550,1
855,14,300,575,0
855,14,300,600,0
855,14,300,625,0
855,14,300,650,0
855,15,100,550,0
855,15,100,575,1
855,15,100,600,0
855,15,100,625,0
855,15,100,650,0
855,15,150,550,0
855,15,150,575,1
855,15,150,600,0
855,15,150,625,0
855,15,150,650,0
855,15,200,550,0
855,15,200,575,1
855,15,200,600,0
855,15,200,625,0
855,15,200,650,0
855,15,250,550,0
855,15,250,575,0
855,15,250,600,0
855,15,250,625,0
855,15,250,650,0
855,15,300,550,1
855,15,300,575,0
855,15,300,600,0
855,15,300,625,0
855,15,300,650,0
855,16,100,550,0
855,16,100,575,0
855,16,100,600,1
855,16,100,625,0
855,16,100,650,0
855,16,150,550,0
855,16,150,575,1
855,16,150,600,0
855,16,150,625,0
855,16,150,650,0
855,16,200,550,0
855,16,200,575,1
855,16,200,600,0
855,16,200,625,0
855,16,200,650,0
855,16,250,550,0
855,16,250,575,1
855,16,250,600,0
855,16,250,625,0
855,16,250,650,0
855,16,300,550,0
855,16,300,575,1
855,16,300,600,0
855,16,300,625,0
855,16,300,650,0
855,17,100,550,0
855,17,100,575,0
855,17,100,600,1
855,17,100,625,0
855,17,100,650,0
855,17,150,550,0
855,17,150,575,0
855,17,150,600,0
855,17,150,625,0
855,17,150,650,0
855,17,200,550,0
855,17,200,575,1
855,17,200,600,0
855,17,200,625,0
855,17,200,650,0
855,17,250,550,0
855,17,250,575,1
855,17,250,600,0
855,17,250,625,0
855,17,250,650,0
855,17,300,550,0
855,17,300,575,1
855,17,300,600,0
855,17,300,625,0
855,17,300,650,0
855,18,100,550,0
855,18,100,575,0
855,18,100,600,1
855,18,100,625,0
855,18,100,650,0
855,18,150,550,0
855,18,150,575,0
855,18,150,600,1
855,18,150,625,0
855,18,150,650,0
855,18,200,550,0
855,18,200,575,0
855,18,200,600,1
855,18,200,625,0
855,18,200,650,0
855,18,250,550,0
855,18,250,575,0
855,18,250,600,0
855,18,250,625,0
855,18,250,650,0
855,18,300,550,0
855,18,300,575,1
855,18,300,600,0
855,18,300,625,0
855,18,300,650,0
855,19,100,550,0
855,19,100,575,0
855,19,100,600,0
855,19,100,625,0
855,19,100,650,0
855,19,150,550,0
855,19,150,575,0
855,19,150,600,1
855,19,150,625,0
855,19,150,650,0
855,19,200,550,0
855,19,200,575,0
855,19,200,600,1
855,19,200,625,0
855,19,200,650,0
855,19,250,550,0
855,19,250,575,0
855,19,250,600,1
855,19,250,625,0
855,19,250,650,0
855,19,300,550,0
855,19,300,575,0
855,19,300,600,1
855,19,300,625,0
855,19,300,650,0
855,20,100,550,0
855,20,100,575,0
855,20,100,600,0
855,20,100,625,1
855,20,100,650,0
855,20,150,550,0
855,20,150,575,0
855,20,150,600,1
855,20,150,625,0
855,20,150,650,0
855,20,200,550,0
855,20,200,575,0
855,20,200,600,1
855,20,200,625,0
855,20,200,650,0
855,20,250,550,0
855,20,250,575,0
855,20,250,600,1
855,20,250,625,0
855,20,250,650,0
855,20,300,550,0
855,20,300,575,0
855,20,300,600,1
855,20,300,625,0
855,20,300,650,0
855,21,100,550,0
855,21,100,575,0
855,21,100,600,0
855,21,100,625,1
855,21,100,650,0
855,21,150,550,0
855,21,150,575,0
855,21,150,600,0
855,21,150,625,1
855,21,150,650,0
855,21,200,550,0
855,21,200,575,0
855,21,200,600,1
855,21,200,625,0
855,21,200,650,0
855,21,250,550,0
855,21,250,575,0
