2h,20h,40h,60h,material,heatsink,StableOrNot
1.0023,0.98898,0.99498,0.99552,2,0,0
1.0023,0.9897,0.98964,0.99346,2,0,0
1.0001,0.9992,1.0074,1.0024,1,1,1
1.0001,0.99946,1.0075,1.0033,1,1,1
1.0001,0.99881,0.99477,0.99573,2,0,0
1.0028,1.0021,1.005,1.006,1,0,1
1.0023,0.99427,1.0002,1.0026,1,1,1
1.0001,0.99875,0.99219,0.99715,2,0,0
1.0001,0.99856,0.9877,0.99378,1,0,0
1.0001,0.99898,0.99815,0.99765,2,0,0
1.0023,0.98693,0.99213,0.99496,2,0,0
1.0001,0.99891,0.99319,1.003,1,1,1
1.0001,0.99904,1.0008,0.99535,2,0,0
1.0024,0.99337,0.99654,0.99691,2,0,0
1.0001,0.99916,0.99686,1.0035,1,1,1
1.0028,0.99807,1.0055,1.0017,1,1,1
1.0001,0.99861,0.99245,0.99191,2,0,0
1.0001,0.99883,0.99409,1.002,1,1,1
1.0024,0.99225,0.99988,1.003,1,1,1
1.0001,0.99908,1.0019,1.0029,1,1,1
1.0001,0.99905,0.9995,1.0022,2,1,1
1.0026,0.99594,1.0015,1.0019,1,1,1
1.0001,0.99929,1.0018,1.0032,1,1,1
1.0026,0.99512,0.99778,0.99732,1,1,1
1.0028,1.0026,1.0045,0.99962,1,1,1
1.0001,0.99931,1.0044,1.0021,1,1,1
1.0023,0.99168,0.99461,0.99811,2,0,0
1.0001,0.99877,0.99573,0.99464,2,0,0
1.0027,0.99993,1.0004,0.99732,1,0,1
1.0028,1.0023,1.0077,1.0029,1,1,1
1.0001,0.99875,0.99326,0.9946,2,0,0
1.0026,0.99148,0.99834,0.9985,1,1,1
1.0023,0.98833,0.99169,0.99476,2,0,0
1.0001,0.99875,0.99621,0.99062,2,0,0
1.0001,0.99912,1.0016,1.0039,1,1,1
1.0001,0.99929,1.0029,1.0022,1,1,1
1.0025,0.99115,0.99378,0.9977,2,0,0
1.0001,0.99953,1.0086,1.0022,1,1,1
1.0001,0.99985,1.0116,0.99752,1,0,1
1.0001,0.99943,1.0003,1.0034,1,1,1
1.0001,0.99913,1.0066,1.0028,1,1,1
1.0001,0.999,0.99936,0.99945,2,0,0
1.0001,0.99941,1.005,1.0025,1,1,1
1.0001,0.9991,1.0009,1.0024,1,1,1
1.0001,0.99879,0.99482,1.0005,1,1,1
1.0001,0.99909,0.99863,1.0037,1,1,1
1.0001,0.99954,1.0095,1.0031,1,1,1
1.0001,0.99927,1.0011,1.0036,1,1,1
1.0023,0.98684,0.9898,0.9931,1,0,0
1.0028,0.99565,1.0042,1.0073,1,1,1
1.0001,0.99911,1.0045,1.0029,1,1,1
1.0001,0.99885,0.99655,0.99327,2,1,0
1.0027,0.9991,0.99983,1.0002,1,1,1
1.0001,0.99981,1.013,0.99537,2,1,1
1.0026,0.99744,0.99681,0.99456,2,0,0
1.0028,0.99529,1.0019,0.99527,2,0,0
1.0001,0.99946,1.0056,1.0042,1,1,1
1.0024,0.99741,1.0067,1.0054,1,1,1
1.0001,0.99859,0.99294,0.99714,2,0,0
1.0027,0.99734,0.99694,0.99847,2,0,0
1.0001,0.9996,1.009,1.0038,2,1,1
1.0001,0.9994,0.99841,1.0043,1,0,1
1.0001,0.99971,1.0067,1.0043,1,1,1
1.0024,0.98939,0.98729,0.99058,2,0,0
1.0001,0.99924,1.0074,1.0021,2,1,1
1.0001,0.99855,0.98865,0.9926,2,0,0
1.0001,0.99965,1.01,1.0031,2,1,1
1.0001,0.99865,0.99605,0.99145,2,0,0
1.0025,0.99826,1.0024,1.0012,1,1,1
1.0024,0.99261,1.0019,0.99672,2,0,0
1.0001,0.9988,0.997,0.99593,2,0,0
1.0001,0.9986,0.98839,0.99123,2,0,0
1.0027,0.99533,0.99311,0.98782,2,0,0
1.0001,0.99861,0.98902,0.99343,2,0,0
1.0001,0.99873,0.999,1.0012,2,1,1
1.0028,0.99685,0.99874,0.99621,2,0,0
1.0023,0.99275,0.99924,0.99562,2,0,0
1.0025,0.99307,0.99986,0.99304,2,0,0
1.0001,0.99904,0.99988,0.99786,2,0,0
1.0023,0.98842,0.99449,0.9944,2,0,0
1.0001,0.99855,0.99024,0.99061,2,0,0
1.0001,0.99887,1.0009,0.99535,2,0,0
1.0026,0.99376,0.99966,0.99941,2,0,0
1.0001,0.99944,1.0051,1.004,1,1,1
1.0024,0.99014,0.99475,0.99488,2,0,0
1.0001,0.99864,0.99622,0.99481,1,0,0
1.0026,0.99545,1.0015,0.99942,2,0,0
1.0001,0.9995,1.0043,1.0041,1,0,1
1.0001,0.99893,1.0013,0.99901,2,0,0
1.0001,0.99877,0.99517,1.0006,1,1,1
1.0001,0.99866,0.99317,0.99233,2,0,0
1.0001,0.99892,0.99935,0.99951,2,0,0
1.0001,0.99902,1.0025,0.99839,2,0,0
1.0028,0.99831,0.99841,0.99561,2,0,0
1.0001,0.99874,0.99458,0.99467,2,0,0
1.0026,0.99465,0.99304,0.99527,1,1,1
1.0001,0.99862,0.99487,0.99833,2,0,0
1.0001,0.99889,0.99501,0.99633,2,0,0
1.0029,0.99862,1.0023,1.0062,1,1,1
1.0025,0.99671,1.0004,1.0023,1,1,1
1.0001,0.99891,1.0013,0.99495,1,0,0
1.0023,0.99344,0.99298,0.99447,2,0,0
1.0001,0.99863,0.9952,0.99165,2,0,0
1.0024,0.99143,0.99361,0.9916,1,0,0
1.0001,0.9988,0.99695,0.99494,2,0,0
1.0001,0.99906,0.99614,1.0001,2,0,0
1.0001,0.99868,0.99067,0.99135,2,0,0
1.0001,0.99881,0.99524,1.003,1,1,1
1.0024,0.99412,0.99716,0.99218,2,0,0
1.0026,0.99749,0.99937,0.99738,1,1,1
1.0025,0.99315,0.99854,0.99396,2,0,0
1.0001,0.9989,0.9935,1.0028,1,1,1
1.0001,0.99906,1.0023,0.99904,2,0,0
1.0001,0.99889,0.99763,1.0035,1,1,1
1.0001,0.99863,0.99194,1.0006,1,1,1
1.0025,0.99134,0.98929,0.99339,2,0,0
1.0029,0.99857,1.0053,1.0023,2,1,1
1.0001,0.99892,0.99702,1.0018,1,1,1
1.0001,0.99929,1.0034,1.0008,2,0,0
1.0001,0.99946,1.0086,1.0035,1,1,1
1.0027,1.0011,1.0061,1.0005,1,1,1
1.0025,0.99667,1.0001,0.9949,2,0,0
1.0001,0.99859,0.99561,0.9916,2,0,0
1.0025,0.99269,0.99184,0.99338,2,0,0
1.0026,0.99451,1.0016,1.0008,1,1,1
1.0001,0.99901,0.99719,1.0041,1,0,1
